name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,baseline_jw,yolo_wer,yolo_cer,yolo_pmr,yolo_bleu,yolo_cosine,yolo_indobert,yolo_jw,baseline_indobert_P,baseline_indobert_R,baseline_indobert_F1,yolo_indobert_P,yolo_indobert_R,yolo_indobert_F1
522,0.16129032258064516,0.11329479768786127,0.2903225806451613,0.8387089112846546,0.9283641733946211,"(0.9131332635879517, 0.9442889094352722, 0.928449809551239)",0.9200778866658292,0.056451612903225805,0.03005780346820809,0.2975206611570248,0.9198248175582662,0.9783026726460984,"(0.9716838002204895, 0.9828124642372131, 0.9772164225578308)",0.9284115788440053,0.9131332635879517,0.9442889094352722,0.928449809551239,0.9716838002204895,0.9828124642372131,0.9772164225578308
479,21.23076923076923,16.63186813186813,0.0,0.0018058902152045708,0.012008636195201108,"(0.3306380808353424, 0.42230814695358276, 0.370892733335495)",0.5134288482159771,1.0,0.8131868131868132,0.0,0.0,0.0,"(0.36276501417160034, 0.36647772789001465, 0.3646119236946106)",0.5960051344666729,0.3306380808353424,0.42230814695358276,0.370892733335495,0.36276501417160034,0.36647772789001465,0.3646119236946106
528,1.1666666666666667,0.8858954041204438,0.3627450980392157,0.40750391513875495,0.7093661770343385,"(0.5526434183120728, 0.788463294506073, 0.64982008934021)",0.8411606703811332,0.12745098039215685,0.12361331220285261,0.6770833333333334,0.8394006845929011,0.9386081771115299,"(0.9472967386245728, 0.9506863355636597, 0.9489884972572327)",0.9162116826765611,0.5526434183120728,0.788463294506073,0.64982008934021,0.9472967386245728,0.9506863355636597,0.9489884972572327
365,0.3626943005181347,0.29433139534883723,0.0051813471502590676,0.7104685673392305,0.9312000351180779,"(0.8656865954399109, 0.9295729398727417, 0.8964930772781372)",0.7716014839172599,0.05699481865284974,0.059593023255813955,0.0051813471502590676,0.9282728726491319,0.987053649860751,"(0.9405235052108765, 0.9671791791915894, 0.9536650776863098)",0.8311941197918888,0.8656865954399109,0.9295729398727417,0.8964930772781372,0.9405235052108765,0.9671791791915894,0.9536650776863098
478,1.1278195488721805,1.4131147540983606,0.0,0.4489182820949649,0.6295504342543802,"(0.6963430047035217, 0.7169560790061951, 0.7064992189407349)",0.6426818105357687,0.007518796992481203,0.001092896174863388,0.9924812030075187,0.9808766462985948,0.995194496517434,"(0.9955625534057617, 0.9964922666549683, 0.9960271716117859)",0.9919041982040152,0.6963430047035217,0.7169560790061951,0.7064992189407349,0.9955625534057617,0.9964922666549683,0.9960271716117859
482,1.7986111111111112,1.5344488188976377,0.0,0.34353182458565096,0.44216019011763685,"(0.5585110187530518, 0.5306280851364136, 0.5442126393318176)",0.6235328987689971,0.0,0.0,1.0,1.0,0.9999999999999998,"(1.0, 1.0, 1.0)",1.0,0.5585110187530518,0.5306280851364136,0.5442126393318176,1.0,1.0,1.0
568,0.27896995708154504,0.2812318419523533,0.17167381974248927,0.828602578476933,0.9742124289418796,"(0.9383869171142578, 0.9413859248161316, 0.9398840069770813)",0.9154412754324991,0.2532188841201717,0.26496223126089485,0.17167381974248927,0.853106258084654,0.9763833078642729,"(0.9385594725608826, 0.9402933716773987, 0.9394256472587585)",0.9175351351872802,0.9383869171142578,0.9413859248161316,0.9398840069770813,0.9385594725608826,0.9402933716773987,0.9394256472587585
584,0.1339712918660287,0.13101045296167246,0.14832535885167464,0.915328894716452,0.9904850778094714,"(0.9443383812904358, 0.9508281946182251, 0.9475721716880798)",0.9105939083076835,0.07655502392344497,0.0843205574912892,0.15270935960591134,0.9212115039816164,0.9919981304428444,"(0.9543455243110657, 0.9489932060241699, 0.9516618847846985)",0.9111433417247258,0.9443383812904358,0.9508281946182251,0.9475721716880798,0.9543455243110657,0.9489932060241699,0.9516618847846985
66,0.12894736842105264,0.10014409221902017,0.5421052631578948,0.8818588487476895,0.9748357116892283,"(0.980102002620697, 0.989311933517456, 0.9846854209899902)",0.9389269328834108,0.0,0.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0)",1.0,0.980102002620697,0.989311933517456,0.9846854209899902,1.0,1.0,1.0
652,0.06397306397306397,0.025566811384466957,0.2033898305084746,0.8918781344412817,0.9751525101463541,"(0.9613364338874817, 0.9754467606544495, 0.9683402180671692)",0.9230128675562252,0.06397306397306397,0.03424987940183309,0.2062937062937063,0.8913993017895855,0.9827887281378034,"(0.9731636643409729, 0.9730071425437927, 0.9730854034423828)",0.9183933289217091,0.9613364338874817,0.9754467606544495,0.9683402180671692,0.9731636643409729,0.9730071425437927,0.9730854034423828
