name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,final_symspell_wer,final_symspell_cer,final_symspell_pmr,final_symspell_bleu,final_symspell_cosine,final_symspell_indobert,final_llm_wer,final_llm_cer,final_llm_pmr,final_llm_bleu,final_llm_cosine,final_llm_indobert
522,0.16129032258064516,0.11329479768786127,0.2903225806451613,0.8387089112846546,0.9283641733946211,"(0.9131332635879517, 0.9442889094352722, 0.928449809551239)",0.06451612903225806,0.03352601156069364,0.2975206611570248,0.8990105604421996,0.972525245764512,"(0.9586562514305115, 0.9712709188461304, 0.9649223685264587)",0.12096774193548387,0.06705202312138728,0.31092436974789917,0.813136113302124,0.9798884196368896,"(0.9763405919075012, 0.9691017270088196, 0.9727076888084412)"
479,21.23076923076923,16.63186813186813,0.0,0.0018058902152045708,0.012008636195201108,"(0.3306380808353424, 0.42230814695358276, 0.370892733335495)",1.0,0.8021978021978022,0.0,0.0,0.0,"(0.3634084463119507, 0.37184950709342957, 0.36758050322532654)",1.0384615384615385,0.7802197802197802,0.0,0.0,0.0,"(0.3678537607192993, 0.38872015476226807, 0.3779992163181305)"
528,1.1666666666666667,0.8858954041204438,0.3627450980392157,0.40750391513875495,0.7093661770343385,"(0.5526434183120728, 0.788463294506073, 0.64982008934021)",0.12745098039215685,0.12361331220285261,0.6770833333333334,0.8394006845929011,0.9386081771115299,"(0.9472967386245728, 0.9506863355636597, 0.9489884972572327)",0.24509803921568626,0.15689381933438987,0.27450980392156865,0.6778929379130683,0.9156466588735749,"(0.8783180117607117, 0.8957652449607849, 0.8869558572769165)"
365,0.3626943005181347,0.29433139534883723,0.0051813471502590676,0.7104685673392305,0.9312000351180779,"(0.8656865954399109, 0.9295729398727417, 0.8964930772781372)",0.05699481865284974,0.059593023255813955,0.0051813471502590676,0.9282728726491319,0.987053649860751,"(0.9405235052108765, 0.9671791791915894, 0.9536650776863098)",0.10362694300518134,0.057412790697674417,0.010362694300518135,0.8368826127011266,0.9789353967096193,"(0.9326664805412292, 0.9558390378952026, 0.944110631942749)"
478,1.1278195488721805,1.4131147540983606,0.0,0.4489182820949649,0.6295504342543802,"(0.6963430047035217, 0.7169560790061951, 0.7064992189407349)",0.007518796992481203,0.001092896174863388,0.9924812030075187,0.9808766462985948,0.995194496517434,"(0.9955625534057617, 0.9964922666549683, 0.9960271716117859)",0.015037593984962405,0.007650273224043716,0.9849624060150376,0.9636382769507964,0.995211434672194,"(0.9834587574005127, 0.9842321872711182, 0.9838453531265259)"
482,1.7986111111111112,1.5344488188976377,0.0,0.34353182458565096,0.44216019011763685,"(0.5585110187530518, 0.5306280851364136, 0.5442126393318176)",0.0,0.0,1.0,1.0,0.9999999999999998,"(1.0, 1.0, 1.0)",0.875,0.7509842519685039,0.013888888888888888,0.9290247748241869,0.9937086389670914,"(0.7798365354537964, 0.7723999619483948, 0.7761003971099854)"
568,0.27896995708154504,0.2812318419523533,0.17167381974248927,0.828602578476933,0.9742124289418796,"(0.9383869171142578, 0.9413859248161316, 0.9398840069770813)",0.2532188841201717,0.26554328878558975,0.17167381974248927,0.853106258084654,0.9763833078642729,"(0.9410505294799805, 0.9412959814071655, 0.941173255443573)",0.24034334763948498,0.2800697269029634,0.18454935622317598,0.9119546012311278,0.9901308226367678,"(0.9613442420959473, 0.9494323134422302, 0.9553511142730713)"
584,0.1339712918660287,0.13101045296167246,0.14832535885167464,0.915328894716452,0.9904850778094714,"(0.9443383812904358, 0.9508281946182251, 0.9475721716880798)",0.07655502392344497,0.0843205574912892,0.15270935960591134,0.9212115039816164,0.9919981304428444,"(0.9543455243110657, 0.9489932060241699, 0.9516618847846985)",0.07177033492822966,0.08571428571428572,0.14215686274509803,0.9261204139816381,0.995673852327651,"(0.9585039019584656, 0.9514596462249756, 0.9549687504768372)"
66,0.12894736842105264,0.10014409221902017,0.5421052631578948,0.8818588487476895,0.9748357116892283,"(0.980102002620697, 0.989311933517456, 0.9846854209899902)",0.0,0.0,1.0,1.0,1.0,"(1.0, 1.0, 1.0)",0.005263157894736842,0.0007204610951008645,0.9947368421052631,0.990739680766603,1.0,"(0.9913647174835205, 0.9913824200630188, 0.991373598575592)"
652,0.06397306397306397,0.025566811384466957,0.2033898305084746,0.8918781344412817,0.9751525101463541,"(0.9613364338874817, 0.9754467606544495, 0.9683402180671692)",0.06397306397306397,0.0361794500723589,0.2062937062937063,0.8913993017895855,0.9827887281378034,"(0.9732867479324341, 0.9705488085746765, 0.9719158411026001)",0.0707070707070707,0.039556198745779064,0.08710801393728224,0.881907792330528,0.9959751759320195,"(0.9721592664718628, 0.9720438718795776, 0.9721015691757202)"
