,name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,final_symspell_wer,final_symspell_cer,final_symspell_pmr,final_symspell_bleu,final_symspell_cosine,final_llm_wer,final_llm_cer,final_llm_pmr,final_llm_bleu,final_llm_cosine,baseline_indobert_P,baseline_indobert_R,baseline_indobert_F1,final_symspell_indobert_P,final_symspell_indobert_R,final_symspell_indobert_F1,final_llm_indobert_P,final_llm_indobert_R,final_llm_indobert_F1,baseline_jw,final_symspell_jw,final_llm_jw
count,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
mean,332.6,0.4327447099237592,0.3191607796781274,0.17299714975811958,0.7962365768822584,0.8830984224389258,0.17263694772971955,0.12142408077215128,0.39198882802495566,0.8044933099911082,0.8637864214077914,0.16856903408454182,0.12047122327408488,0.3984040603804608,0.8131789778096221,0.8767316252660361,0.9186770734190941,0.9378808498382568,0.9277785930037499,0.9353790232539176,0.9313429087400437,0.9327909335494041,0.9397994315624237,0.9343217885494233,0.9364708915352822,0.8464166299375684,0.8793648533735571,0.8837143187703081
std,180.9246732033455,2.128334376233577,1.6684466607558208,0.28394962895200515,0.26612956602879445,0.2632533302627504,0.30558015204922195,0.24770944769213177,0.40303740457284243,0.3054913594394692,0.3026191844518517,0.304101034,0.24789933710361106,0.40343041319082357,0.30557162079579403,0.3019251620353153,0.10406213189332626,0.086415946,0.095525486,0.13147061585454364,0.14921335105928576,0.14168658655292654,0.13091400445231077,0.1490029185434497,0.1412757141935868,0.091306669,0.1103710211003195,0.11249721258988213
min,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3306380808353424,0.4223081469535827,0.370892733,0.3634084463119507,0.2592885792255401,0.3128456771373749,0.364233524,0.2592885792255401,0.3128456771373749,0.5134288482159771,0.5088253849406904,0.5088253849406904
p25,157.75,0.042913802,0.023549359620166823,0.007589013,0.8004737602331458,0.9542169132267112,0.019636910860655672,0.003314709,0.015910334,0.8416620104418584,0.9508475778192936,0.016207469605527824,0.002632587,0.016302758,0.8611241532535552,0.9747231004409386,0.9142102599143982,0.9409219771623611,0.9266694337129592,0.9547166526317596,0.9551776945590972,0.9534914195537567,0.9599327743053436,0.9586906135082245,0.9598162323236465,0.8113107180255241,0.8405585221910686,0.8388070111170467
p50,376,0.078184386,0.041787928,0.017483585,0.8952412954609543,0.9829270774796648,0.046566765,0.016356553,0.2295593019816622,0.9274954117777681,0.9873246743257535,0.047643098,0.016586523,0.2224575480500093,0.9313977151740159,0.990915795,0.9503691494464874,0.963136613,0.9560411274433136,0.9738178551197052,0.9705771803855896,0.9719174802303314,0.9794049263000488,0.9762259125709534,0.9778095185756683,0.8381564089619018,0.9126024525128342,0.9143826797938659
p75,468,0.21019021739130433,0.16309567726851373,0.24122349669794918,0.9462503721772937,0.9927543709257989,0.12332615973218553,0.071140919,0.8726014931742171,0.9600543863390252,0.9952910031268449,0.110191638,0.071016417,0.8560428634555899,0.9675215973555044,0.997037253,0.9694182872772217,0.9771814495325089,0.9728165119886398,0.9892047494649887,0.9892802685499191,0.9895974993705748,0.9912426173686981,0.9911358207464218,0.9911044239997864,0.9161102587981966,0.9370913669837572,0.9448130642482098
max,658,21.23076923076923,16.63186813186813,1,1,1.0000000000000009,1,0.99077207,1,1,1.0000000000000016,1,0.99077207,1,1,1.0000000000000016,1,1,1,1,1,1,1,1,1,1,1,1
