name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,final_symspell_wer,final_symspell_cer,final_symspell_pmr,final_symspell_bleu,final_symspell_cosine,final_llm_wer,final_llm_cer,final_llm_pmr,final_llm_bleu,final_llm_cosine
522,0.16129032258064516,0.11329479768786127,0.2903225806451613,0.8387089112846546,0.9283641733946211,0.06451612903225806,0.03352601156069364,0.2975206611570248,0.8990105604421996,0.972525245764512,0.12096774193548387,0.06705202312138728,0.31092436974789917,0.813136113302124,0.9798884196368896
479,21.23076923076923,16.63186813186813,0.0,0.0018058902152045708,0.012008636195201108,1.0,0.8021978021978022,0.0,0.0,0.0,1.0384615384615385,0.7802197802197802,0.0,0.0,0.0
528,1.1666666666666667,0.8858954041204438,0.3627450980392157,0.40750391513875495,0.7093661770343385,0.12745098039215685,0.12361331220285261,0.6770833333333334,0.8394006845929011,0.9386081771115299,0.24509803921568626,0.15689381933438987,0.27450980392156865,0.6778929379130683,0.9156466588735749
365,0.3626943005181347,0.29433139534883723,0.0051813471502590676,0.7104685673392305,0.9312000351180779,0.05699481865284974,0.059593023255813955,0.0051813471502590676,0.9282728726491319,0.987053649860751,0.10362694300518134,0.057412790697674417,0.010362694300518135,0.8368826127011266,0.9789353967096193
478,1.1278195488721805,1.4131147540983606,0.0,0.4489182820949649,0.6295504342543802,0.007518796992481203,0.001092896174863388,0.9924812030075187,0.9808766462985948,0.995194496517434,0.015037593984962405,0.007650273224043716,0.9849624060150376,0.9636382769507964,0.995211434672194
482,1.7986111111111112,1.5344488188976377,0.0,0.34353182458565096,0.44216019011763685,0.0,0.0,1.0,1.0,0.9999999999999998,0.875,0.7509842519685039,0.013888888888888888,0.9290247748241869,0.9937086389670914
568,0.27896995708154504,0.2812318419523533,0.17167381974248927,0.828602578476933,0.9742124289418796,0.2532188841201717,0.26554328878558975,0.17167381974248927,0.853106258084654,0.9763833078642729,0.24034334763948498,0.2800697269029634,0.18454935622317598,0.9119546012311278,0.9901308226367678
584,0.1339712918660287,0.13101045296167246,0.14832535885167464,0.915328894716452,0.9904850778094714,0.07655502392344497,0.0843205574912892,0.15270935960591134,0.9212115039816164,0.9919981304428444,0.07177033492822966,0.08571428571428572,0.14215686274509803,0.9261204139816381,0.995673852327651
66,0.12894736842105264,0.10014409221902017,0.5421052631578948,0.8818588487476895,0.9748357116892283,0.0,0.0,1.0,1.0,1.0,0.005263157894736842,0.0007204610951008645,0.9947368421052631,0.990739680766603,1.0
652,0.06397306397306397,0.025566811384466957,0.2033898305084746,0.8918781344412817,0.9751525101463541,0.06397306397306397,0.0361794500723589,0.2062937062937063,0.8913993017895855,0.9827887281378034,0.0707070707070707,0.039556198745779064,0.08710801393728224,0.881907792330528,0.9959751759320195
355,0.041666666666666664,0.0165016501650165,0.9791666666666666,0.957870874785216,0.954499768533531,0.020833333333333332,0.0033003300330033004,0.9791666666666666,0.978482042633557,0.9691235339762346,0.2708333333333333,0.24092409240924093,0.0,0.8122655847982776,0.9262706259118868
381,0.0847457627118644,0.05470287288469106,0.02824858757062147,0.8833445380981385,0.9852632697150394,0.01694915254237288,0.0035419126328217238,0.002824858757062147,0.9617368085497316,0.9964285100069034,0.01694915254237288,0.0027548209366391185,0.9830508474576272,0.9571941236697435,0.9956509443194399
209,0.13488372093023257,0.11652794292508918,0.786046511627907,0.8673929245020391,0.9417097983777626,0.018604651162790697,0.0023781212841854932,0.9813953488372092,0.9599719744229558,0.9855999461502312,0.009302325581395349,0.0011890606420927466,0.9906976744186047,0.9764678040238909,1.0000000000000007
467,0.140625,0.13105076741440377,0.015625,0.8652138533211542,0.9771583572882855,0.01953125,0.0029515938606847697,0.98046875,0.9505277735415318,0.9899229639116769,0.0703125,0.012396694214876033,0.078125,0.847254066354286,0.9703528779519024
292,0.16736401673640167,0.10819165378670788,0.008368200836820083,0.8218812107925474,0.9607509998847416,0.04184100418410042,0.002575991756826378,0.0041841004184100415,0.9306167994746555,0.9968479303673471,0.03347280334728033,0.002575991756826378,0.0041841004184100415,0.9449346989374738,0.9968479303673471
500,0.08148148148148149,0.025347912524850896,0.14444444444444443,0.8739667678049677,0.9853257703609388,0.05185185185185185,0.008449304174950299,0.17777777777777778,0.9046116342231962,0.9889321838144745,0.06296296296296296,0.036779324055666,0.022727272727272728,0.9006405299153986,0.9861798840579763
629,0.06976744186046512,0.03926482873851295,0.7790697674418605,0.9157915669394348,0.974459617843692,0.05232558139534884,0.028404344193817876,0.5502958579881657,0.9308539481196335,0.9762642198501835,0.05232558139534884,0.029239766081871343,0.012048192771084338,0.920241325384824,0.9802169446583169
144,0.04666666666666667,0.01896037494674052,0.03166666666666667,0.9195310391033084,0.993699991969315,0.035,0.004260758414997869,0.02847571189279732,0.9255412630969491,0.9939825504634867,0.008333333333333333,0.0027694929697486153,0.9916666666666667,0.9849262675171498,0.9994547762573575
101,0.2356902356902357,0.14053537284894838,0.006734006734006734,0.7110991451465296,0.9729195471440183,0.07407407407407407,0.01864244741873805,0.3277027027027027,0.8314158340286188,0.9987653983593419,0.1111111111111111,0.023422562141491396,0.3333333333333333,0.7385670363183565,0.9990715178719507
444,1.0693069306930694,0.5214521452145214,0.0,0.0,0.0,1.0,0.5004950495049505,0.0,0.0,0.0,1.0,0.5011551155115511,0.0,0.0,0.0
