name,baseline_wer,baseline_cer,baseline_pmr,symspell_wer,symspell_cer,symspell_pmr
522,0.16129032258064516,0.11329479768786127,0.2903225806451613,0.1693548387096774,0.11676300578034682,0.2903225806451613
479,21.23076923076923,16.63186813186813,0.0,21.23076923076923,16.53846153846154,0.0
528,1.1666666666666667,0.8858954041204438,0.3627450980392157,1.1666666666666667,0.8811410459587956,0.3627450980392157
365,0.3626943005181347,0.29433139534883723,0.0051813471502590676,0.3626943005181347,0.29433139534883723,0.0051813471502590676
478,1.1278195488721805,1.4131147540983606,0.0,1.1278195488721805,1.4142076502732241,0.0
482,1.7986111111111112,1.5344488188976377,0.0,1.7986111111111112,1.5334645669291338,0.0
568,0.27896995708154504,0.2812318419523533,0.17167381974248927,0.27896995708154504,0.28181289947704824,0.17167381974248927
584,0.1339712918660287,0.13101045296167246,0.14832535885167464,0.1339712918660287,0.13101045296167246,0.14832535885167464
66,0.12894736842105264,0.10014409221902017,0.5421052631578948,0.12894736842105264,0.10014409221902017,0.5421052631578948
652,0.06397306397306397,0.025566811384466957,0.2033898305084746,0.06397306397306397,0.027496382054992764,0.2033898305084746
355,0.041666666666666664,0.0165016501650165,0.9791666666666666,0.041666666666666664,0.0165016501650165,0.9791666666666666
381,0.0847457627118644,0.05470287288469106,0.02824858757062147,0.0847457627118644,0.05430932703659976,0.02824858757062147
209,0.13488372093023257,0.11652794292508918,0.786046511627907,0.14883720930232558,0.11831153388822829,0.7767441860465116
467,0.140625,0.13105076741440377,0.015625,0.15625,0.13282172373081463,0.015625
292,0.16736401673640167,0.10819165378670788,0.008368200836820083,0.16317991631799164,0.10767645543534261,0.008368200836820083
500,0.08148148148148149,0.025347912524850896,0.14444444444444443,0.08518518518518518,0.02584493041749503,0.14444444444444443
629,0.06976744186046512,0.03926482873851295,0.7790697674418605,0.06976744186046512,0.04093567251461988,0.7790697674418605
144,0.04666666666666667,0.01896037494674052,0.03166666666666667,0.04833333333333333,0.019173412867490414,0.03166666666666667
101,0.2356902356902357,0.14053537284894838,0.006734006734006734,0.23905723905723905,0.1410133843212237,0.006734006734006734
444,1.0693069306930694,0.5214521452145214,0.0,1.0693069306930694,0.5214521452145214,0.0
162,0.0932475884244373,0.08501026694045175,0.8038585209003215,0.09646302250803858,0.08583162217659138,0.797427652733119
273,0.15547024952015356,0.029263612377068843,0.1017274472168906,0.16314779270633398,0.030223075077956345,0.1017274472168906
332,0.21304347826086956,0.19657577679137603,0.013043478260869565,0.21304347826086956,0.19657577679137603,0.013043478260869565
163,0.0,0.0,1.0,0.0034482758620689655,0.00044863167339614175,0.996551724137931
654,0.048034934497816595,0.035202863961813845,0.40540540540540543,0.043668122270742356,0.034606205250596656,0.40540540540540543
344,0.20125786163522014,0.18843120070113936,0.012578616352201259,0.2138364779874214,0.1901840490797546,0.012578616352201259
323,0.7851851851851852,0.5695115405260333,0.014814814814814815,0.7851851851851852,0.5689747718733226,0.014814814814814815
504,0.05,0.03211267605633803,0.08461538461538462,0.057692307692307696,0.03323943661971831,0.08461538461538462
639,0.49606299212598426,0.34585635359116024,0.01834862385321101,0.47244094488188976,0.3425414364640884,0.01834862385321101
145,0.03202846975088968,0.007297605473204105,0.34759358288770054,0.06761565836298933,0.01619156214367161,0.33511586452762926
104,0.3684210526315789,0.33410672853828305,0.0,0.3684210526315789,0.33410672853828305,0.0
472,0.07727272727272727,0.0392638036809816,0.0,0.09090909090909091,0.041104294478527606,0.0
333,0.04954954954954955,0.06407245890640724,0.018018018018018018,0.05405405405405406,0.06474337470647434,0.018018018018018018
96,0.04262295081967213,0.040639861651534805,0.003278688524590164,0.05573770491803279,0.043233895373973194,0.003278688524590164
487,0.07909604519774012,0.07569721115537849,0.009416195856873822,0.08662900188323917,0.07619521912350598,0.009416195856873822
412,0.037142857142857144,0.02069504099960953,0.011428571428571429,0.04285714285714286,0.021475985942991018,0.011428571428571429
316,0.10220994475138122,0.04667124227865477,0.0055248618784530384,0.1132596685082873,0.048730267673301304,0.0055248618784530384
401,0.034782608695652174,0.025847759070429216,0.0052173913043478265,0.034782608695652174,0.025847759070429216,0.0052173913043478265
495,0.036613272311212815,0.029013539651837523,0.002288329519450801,0.07093821510297482,0.036105738233397806,0.002288329519450801
417,0.027777777777777776,0.02021018593371059,0.0030864197530864196,0.046296296296296294,0.02263540824575586,0.0030864197530864196
420,0.20923913043478262,0.225,0.41847826086956524,0.22554347826086957,0.2294776119402985,0.4157608695652174
371,0.1716101694915254,0.15604827392646647,0.01694915254237288,0.1716101694915254,0.15604827392646647,0.01694915254237288
476,1.001639344262295,0.5057988165680474,0.0,1.001639344262295,0.506508875739645,0.0
391,1.036281179138322,0.5161669606114051,0.0,1.036281179138322,0.516901822457378,0.0
415,0.027777777777777776,0.02,0.021604938271604937,0.05555555555555555,0.0236,0.021604938271604937
425,1.0604651162790697,0.5533582089552239,0.0,1.0604651162790697,0.5563432835820895,0.0
55,0.06542056074766354,0.046067415730337076,0.8271028037383178,0.06542056074766354,0.046067415730337076,0.8271028037383178
335,0.28346456692913385,0.22279792746113988,0.007874015748031496,0.2992125984251969,0.22797927461139897,0.007874015748031496
387,0.02962962962962963,0.024065740559577383,0.008888888888888889,0.03111111111111111,0.024457053414204656,0.008888888888888889
334,0.052752293577981654,0.061409630146545706,0.013761467889908258,0.052752293577981654,0.061409630146545706,0.013761467889908258
456,0.03592814371257485,0.019169329073482427,0.3081570996978852,0.041916167664670656,0.019968051118210862,0.3081570996978852
352,0.043010752688172046,0.02641415399950162,0.012544802867383513,0.04659498207885305,0.02716172439571393,0.012544802867383513
